,单价,总价,户型,月供,朝向,标题,楼层,装修,面积
850,9326 元/m²,83万,3室2厅,"
3802元 ",南,"
      科学黄陂住宅楼（温馨三房）不用社保 首付16万 满五税费少  ",高层(共7层),精装修,89平方米
851,37684 元/m²,358万,3室1厅,"
16400元 ",东南,"
      华颖花园 方正三房 精装 南北对流 中层 學位房 产权清晰  ",中层(共9层),精装修,95平方米
852,7321 元/m²,88万,3室2厅,"
4031元 ",南,"
      北江明珠，一线江景，南北对流，交通便利  ",中层(共13层),精装修,120.2平方米
853,12222 元/m²,110万,3室2厅,"
6478元 ",南北,"
      北亭大街5巷13号 红本在手 可按揭带学位 地铁口 随时看房  ",中层(共6层),精装修,90平方米
854,26867 元/m²,223万,3室2厅,"
13134元 ",南,"
      华标峰湖御境 精装3房降价25万急售 近地铁 带学位 南向  ",中层(共29层),精装修,83平方米
855,11807 元/m²,98万,3室2厅,"
4489元 ",南,"
      首付一成 业主上门放盘 总价9字头买三房 钥匙在手 随时看房  ",低层(共9层),精装修,83平方米
856,13143 元/m²,138万,3室2厅,"
8128元 ",南北,"
      文化馆小区 近地铁口 秀全公园花都湖风景区 低楼层 格局方正  ",中层(共9层),简单装修,105平方米
857,12315 元/m²,50万,1室1厅,"
2290元 ",南,"
      VR全景南浦时代 地铁口 租金高达4000每月 可明火带阳台  ",低层(共25层),精装修,40.6平方米
858,70652 元/m²,650万,3室2厅,"
29777元 ",南北,"
      现价580万暨大校内楼龄新价格笋装修好只要你看好其他都好说！  ",中层(共6层),精装修,92平方米
859,52500 元/m²,420万,3室2厅,"
19240元 ",南北,"
      体育中心 华阳学位精装三房 南北向安静实用 近学校  ",中层(共9层),精装修,80平方米
860,22871 元/m²,210万,3室2厅,"
12368元 ",北,"
      祈福天龙苑 双地铁口物业 北站新城 实用三房 首期低 看花园  ",低层(共28层),毛坯,91.8平方米
861,9111 元/m²,82万,3室2厅,"
3756元 ",南北,"
      花城路 小区管理 花城路地铁口150米 精装3房 送大花园  ",低层(共8层),精装修,90平方米
862,40000 元/m²,320万,3室1厅,"
18847元 ",东北,"
      建丽花园 中层三房 花园式小区 中间单位感受安静生活  ",低层(共11层),精装修,80平方米
863,32630 元/m²,300万,3室2厅,"
17669元 ",南,"
      锦尚蓬莱苑 精装修 楼层靓 望马鞍山 安静 配套齐全 拎包  ",中层(共26层),精装修,91.9平方米
864,38500 元/m²,308万,3室2厅,"
18141元 ",南北,"
      农讲所 精英版三房 你要的全都有 地铁十北京路商圈送名校  ",中层(共9层),精装修,80平方米
865,19512 元/m²,80万,1室2厅,"
3664元 ",南,"
      广州2号线 南站星汇 首付15万 4.5米复式带阳台 不限购  ",高层(共9层),精装修,41平方米
866,11111 元/m²,50万,3室2厅,"
2290元 ",南北,"
      番禺市桥站 首付15万 万科物管 个人可买 来电送家电  ",中层(共20层),精装修,45平方米
867,10000 元/m²,88万,3室2厅,"
4031元 ",南,"
      车陂西华花园 地铁傍物业 南向三房 带省级学位 可入户  ",高层(共8层),精装修,88平方米
868,8068 元/m²,71万,3室2厅,"
3252元 ",南,"
      时代倾城，新城，政府大润发旁，新盘优惠12万  ",中层(共32层),精装修,88平方米
869,32500 元/m²,260万,3室2厅,"
15313元 ",南,"
      洛涛南区 一楼带露台 精装三房 户型方正 3D全景看房  ",低层(共6层),精装修,80平方米
870,23480 元/m²,90万,1室1厅,"
4122元 ",东,"
      首付15万入手东景华庭精装1房 楼下地铁口白江站 全新未住  ",中层(共11层),精装修,38.3平方米
871,8791 元/m²,80万,3室2厅,"
3664元 ",南,"
      一线望湖景观房，带豪华装修，16万首付即可拥有，实拍VR  ",中层(共34层),精装修,91平方米
872,13333 元/m²,60万,3室2厅,"
2748元 ",东南,"
      南浦时代 地铁口30米 可明火带反租复式 可个人名义欢迎来电  ",高层(共20层),精装修,45平方米
873,26207 元/m²,228万,3室2厅,"
13429元 ",东北,"
      锦绣生态园 精装实用小三房 您要的小三房来啦 总有一套适合您  ",低层(共6层),精装修,87平方米
874,17391 元/m²,160万,3室2厅,"
9423元 ",南北,"
      朗陶居 送家私家电 南北通透 随时看房 产权清晰 可公积金  ",中层(共7层),精装修,92平方米
875,9272 元/m²,80万,3室2厅,"
3664元 ",南北,"
      三水万达 带精装修 不限购 省级学位房 配套成熟 地铁物业  ",中层(共32层),精装修,86.3平方米
876,11410 元/m²,89万,3室2厅,"
4077元 ",南,"
      单合同不限购首付1成 精装三房 带学位 内部员工价 欢迎致电  ",中层(共32层),精装修,78平方米
877,61176 元/m²,520万,3室2厅,"
23821元 ",南北,"
      山河小区 培正学位大三房 厅出南向大阳台 框架结构 安静舒适  ",高层(共8层),精装修,85平方米
878,37335 元/m²,330万,3室2厅,"
19436元 ",南北,"
      新福港鼎峰 精装3房 南北对流  市二中地铁 有钥匙看房方便  ",高层(共28层),精装修,88.4平方米
879,7000 元/m²,63万,3室2厅,"
2886元 ",南,"
      史上超值的二手房，看了你就知道！  ",高层(共8层),简单装修,90平方米
880,22727 元/m²,200万,3室2厅,"
11779元 ",南,"
      钟村长江数码花园 刚需3房 温馨布局 你期望的就在这里  ",中层(共6层),简单装修,88平方米
881,13684 元/m²,130万,3室2厅,"
7656元 ",南,"
      番禺區 石楼镇学區房 精装三房业主急售 配套成熟 采光靓仔  ",中层(共7层),精装修,95平方米
882,38235 元/m²,338万,3室2厅,"
15484元 ",南,"
      新福港鼎峰实用户型 视野通风棒 全新未住 看房方便  ",中层(共28层),精装修,88.4平方米
883,16651 元/m²,158万,3室2厅,"
9306元 ",南北,"
      首付48万随时看房 南北对流精装修 公积金贷款贷学位近地铁  ",中层(共6层),精装修,94.9平方米
884,55556 元/m²,450万,3室1厅,"
20614元 ",南北,"
      小北路学位 低层三房南北对流  总价450万  ",低层(共7层),精装修,81平方米
885,25053 元/m²,238万,3室2厅,"
14018元 ",南,"
      锦绣生态园 园中南向3房 近门口 中层采光好 过五省税  ",低层(共6层),简单装修,95平方米
886,10270 元/m²,95万,3室2厅,"
4352元 ",南,"
      合景天峻 可个人购买 业主承担税费 即买即过户 欢迎致电  ",低层(共30层),精装修,92.5平方米
887,9808 元/m²,87万,3室2厅,"
3985元 ",南,"
      合景天峻 首付一成带精装修 现楼可公积金 旺村地铁5站到天河  ",中层(共28层),精装修,88.7平方米
888,35643 元/m²,355万,3室2厅,"
16262元 ",南北,"
      广州奥林匹克花园 精装三房 低楼层 南向双阳台 东街 单边位  ",低层(共6层),精装修,99.6平方米
889,15789 元/m²,150万,3室2厅,"
8834元 ",南北,"
      桥景园 首付20万精装三房 带省级 近地铁 成熟配套 南  ",中层(共7层),精装修,95平方米
890,26875 元/m²,215万,3室2厅,"
12663元 ",南,"
      新兴白云花园 实用三房 业主不在 把钥匙交给了我们 随时看房  ",中层(共9层),精装修,80平方米
891,13750 元/m²,110万,3室2厅,"
6478元 ",南北,"
      地铁口 市二中旁 居住舒适 享3大公园配套 方便看房 急售  ",中层(共25层),豪华装修,80平方米
892,8493 元/m²,71万,2室2厅,"
3252元 ",南北,"
      狮峰花园 狮岭圈 急售 满五首付10万 省一级学位 ！  ",低层(共13层),精装修,83.6平方米
893,12941 元/m²,88万,2室1厅,"
4031元 ",东西,"
      |诚信裕馨| 美华新村 实用大两房 机场沿线 近花都湖  ",中层(共9层),简单装修,68平方米
894,24390 元/m²,200万,3室1厅,"
11779元 ",南,"
      石化生活区 大型小区 周边配套齐全 带名校 教育无忧 地铁口  ",中层(共7层),简单装修,82平方米
895,9551 元/m²,85万,3室2厅,"
3893元 ",北,"
      看房方便  采光好  视野无遮挡  随时看房  ",低层(共19层),精装修,89平方米
896,10802 元/m²,92.9万,3室1厅,"
4255元 ",南北,"
      名望苑 白江地铁口 首付25万 随时看房 满五唯一 来电立抢  ",中层(共32层),精装修,86平方米
897,50562 元/m²,450万,3室2厅,"
20614元 ",南北,"
      六运小区 电梯三房 南北对流 保养好 通透采光好  ",中层(共8层),精装修,89平方米
898,40341 元/m²,355万,3室1厅,"
16262元 ",南,"
      天河公园东门 华翠街 舒适三房 厅出阳台南向 户型方正 安静  ",中层(共9层),精装修,88平方米
899,10241 元/m²,85万,3室2厅,"
3893元 ",南,"
      业主置换天河豪宅 便宜出售 价钱可谈 钥匙在手 随时看房  ",中层(共10层),精装修,83平方米
900,39148 元/m²,340万,2室2厅,"
15575元 ",南北,"
      黄埔保利学府里.内部转名.实用两房未入住.望江景.5号线沿线  ",中层(共31层),豪华装修,86.9平方米
901,24342 元/m²,185万,3室1厅,"
10896元 ",东,"
      乐得花园 精装3房 厅出阳台 通风采光非常好 带省级学位  ",中层(共9层),简单装修,76平方米
902,12154 元/m²,79万,3室2厅,"
3619元 ",东南,"
      培英街小区贵祥地产自家房源，房源真实有效，不会浪费您的一秒钟  ",中层(共7层),精装修,65平方米
903,31945 元/m²,260万,3室2厅,"
15313元 ",北,"
      滨江绿园 近地铁物业 精装三房 送60平露台  看房方便  ",低层(共6层),精装修,81.4平方米
904,29130 元/m²,335万,3室2厅,"
15346元 ",东南,"
      锦林山庄 东南向三房带主套 望花园 别墅配套 奢华享受  ",中层(共29层),精装修,115平方米
905,31818 元/m²,350万,4室2厅,"
16033元 ",东南,"
      晓港湾 三楼4房带私人大平台 厅直出阳台 户型方正实用  ",低层(共9层),精装修,110平方米
906,70652 元/m²,650万,3室2厅,"
29777元 ",南北,"
      现价580万暨大校内楼龄新价格笋装修好只要你看好其他都好说！  ",中层(共6层),精装修,92平方米
907,39117 元/m²,335万,3室2厅,"
15346元 ",南,"
      业主急售！万科金色悦府 精装三房 装修保养好 格局方正实用  ",高层(共31层),精装修,85.6平方米
908,32449 元/m²,318万,3室2厅,"
18730元 ",南,"
      诚信，真盘 元邦航空家园 XI缺户型 南向三房 抛售318万  ",中层(共18层),精装修,98平方米
909,28309 元/m²,330万,4室2厅,"
19436元 ",南,"
      祈福山泉居大4房  业主出国诚意出售  价钱可以大谈  ",中层(共6层),精装修,116.6平方米
910,38750 元/m²,310万,2室1厅,"
18258元 ",南,"
      毛坯 东圃 金融城片区  阳光桃源 两房可改三房。  ",高层(共11层),毛坯,80平方米
911,26250 元/m²,315万,3室2厅,"
18553元 ",东南,"
      天河东站旁 时代新世界 120方三房 04年电梯楼 洼地价  ",中层(共31层),简单装修,120平方米
912,39024 元/m²,320万,2室2厅,"
18847元 ",南,"
      东圃新楼龄小区 美林北苑 南向两房 证过两年 相片 保养  ",高层(共10层),精装修,82平方米
913,66250 元/m²,530万,3室2厅,"
24279元 ",南,"
      金海花园 电梯小高层 南向三房 仅530万 本人实拍 可看房  ",低层(共9层),简单装修,80平方米
914,49231 元/m²,320万,2室1厅,"
18847元 ",南,"
      淘金路 房改实用电梯两房 业主诚心出售 华侨小未占  ",低层(共8层),简单装修,65平方米
915,38636 元/m²,340万,2室2厅,"
15575元 ",南,"
      大石星河湾逸心园，朝南，无遮挡，采光好，随时看房，诚心出售  ",高层(共9层),精装修,88平方米
916,15814 元/m²,136万,3室2厅,"
8010元 ",南,"
      宏康花园康晖苑 南岗站地铁口 带学位送车位 可公积金 有钥匙  ",中层(共7层),精装修,86平方米
917,28428 元/m²,198万,3室2厅,"
11662元 ",东南,"
      景新豪苑 装修看图 非常大方，漂亮 业主急卖 已降20万  ",中层(共11层),豪华装修,69.7平方米
918,33699 元/m²,326万,3室2厅,"
19201元 ",南北,"
      万科城市花园 大型小区 精装三房 业主急卖 随时看房 近地铁  ",低层(共18层),精装修,96.7平方米
919,35393 元/m²,315万,3室2厅,"
18553元 ",东南,"
      岭南新世界 嘉禾望岗地铁口 东南向三房望花园 14号线年底开  ",中层(共33层),精装修,89平方米
920,41176 元/m²,350万,3室2厅,"
16033元 ",南,"
      sun盘！想给您们推荐三十遍 不要假装没看见啊 单价3.7万  ",高层(共9层),简单装修,85平方米
921,62745 元/m²,320万,2室1厅,"
18847元 ",南北,"
      东山口 教工新村小区 51方 急售265万 南北对流 署前  ",中层(共8层),简单装修,51平方米
922,27778 元/m²,200万,3室2厅,"
11779元 ",南北,"
      广州名山脚下 云山居唯一原始三房 精装修南北对流 空气环境好  ",高层(共6层),精装修,72平方米
923,26875 元/m²,215万,3室2厅,"
12663元 ",南,"
      大沙地 鹤林苑 东南向 正规三房 近地铁繁华地段 带省级学位  ",中层(共9层),精装修,80平方米
924,55056 元/m²,490万,3室2厅,"
22447元 ",东北,"
      东山口 署前学位低层三房 豪华装修 学位没占用 东山百货后面  ",中层(共8层),豪华装修,89平方米
925,42143 元/m²,354万,3室2厅,"
16217元 ",南,"
      H1 金融城旁 远洋明苑 精装三房 产权清晰 业主换房 贱卖  ",中层(共18层),豪华装修,84平方米
926,40000 元/m²,350万,3室2厅,"
16033元 ",东南,"
      远洋天骄 都市时尚 双地铁口  急出98折全新现楼  ",高层(共14层),精装修,87.5平方米
927,34483 元/m²,300万,3室2厅,"
17669元 ",东北,"
      新上视频看房 近地铁 盈彩美居三期 东北向精装三房 产权清晰  ",低层(共25层),精装修,87平方米
928,45333 元/m²,340万,3室1厅,"
15575元 ",北,"
      新上房源  私享100方平台 可栽植养鱼 圆你市区田圆梦  ",低层(共12层),精装修,75平方米
929,39706 元/m²,340万,3室2厅,"
15575元 ",东南,"
      全新未住 带华阳学位 中层南向3房采光好 业主急售 华润天合  ",中层(共33层),精装修,85.6平方米
930,40385 元/m²,315万,3室2厅,"
18553元 ",东南,"
      全景实拍 东圃远洋明苑 东南向三房 低总价少有放卖 看房方便  ",中层(共18层),简单装修,78平方米
931,36111 元/m²,325万,3室2厅,"
19142元 ",南北,"
      中鼎君和名城 业主因回老家发展 证已出 非诚勿扰  ",中层(共32层),精装修,90平方米
932,45000 元/m²,360万,3室2厅,"
16491元 ",南北,"
      天河北资深学府 太古汇万菱汇商圈 两房价位买三房 拎包入住  ",高层(共9层),精装修,80平方米
933,39561 元/m²,350万,3室2厅,"
16033元 ",东南,"
      天河智慧城 单合同！3成首付 唯1地铁口现房，华景小学  ",高层(共20层),精装修,88.5平方米
934,35843 元/m²,319万,3室2厅,"
18789元 ",南,"
      惊现笋盘 旭景家园  有便宜的房子留给刚需的您点击 欢迎来电  ",低层(共15层),简单装修,89平方米
935,35208 元/m²,338万,3室2厅,"
15484元 ",南,"
      保利西子湾 南向三房 业主委托 杜 绝 虚 假 产权清晰  ",低层(共11层),精装修,96平方米
936,6136 元/m²,54万,3室2厅,"
2473元 ",南北,"
      天河客运站旁 河水直街小区包税 可公积金贷 带省级学位送车位  ",低层(共9层),精装修,88平方米
937,37513 元/m²,350万,3室2厅,"
16033元 ",东,"
      东景花园 东南向精装三房 3成首付可用公积金 业主急售  ",中层(共30层),精装修,93.3平方米
938,42500 元/m²,340万,3室2厅,"
15575元 ",南,"
      5号线东圃站 国际金融城板块 兰亭盛荟 南向紧凑  ",中层(共33层),豪华装修,80平方米
939,33684 元/m²,320万,3室2厅,"
18847元 ",南北,"
      集贤苑告别寄居 生活如此多娇 成家立业 人生无需继续等待有匙  ",高层(共11层),精装修,95平方米
940,32394 元/m²,230万,3室2厅,"
13546元 ",南,"
      城西花园 低楼层两房 厅出阳台户型 证过五年  ",中层(共9层),精装修,71平方米
941,29630 元/m²,320万,3室2厅,"
18847元 ",南,"
      东圃 旭景家园  精装3房带主套 首付仅需50万  ",高层(共15层),精装修,108平方米
942,37349 元/m²,310万,2室2厅,"
18258元 ",南,"
      南国奥园笋盘一楼 保养全新位置好 近地铁带学位 衣食住行齐全  ",低层(共5层),精装修,83平方米
943,37412 元/m²,318万,2室2厅,"
18730元 ",南北,"
      天河笋盘，低首付，周围商业成熟  ",低层(共32层),精装修,85平方米
944,41667 元/m²,350万,3室2厅,"
16033元 ",南北,"
      兰亭盛荟 天河一手楼 精装三房 周末活动有额外98折 送好礼  ",中层(共33层),精装修,84平方米
945,41527 元/m²,310万,2室2厅,"
18258元 ",南北,"
      岗顶地铁口 冠.军小区 准电梯 南向2房 配套齐全 业主急售  ",中层(共9层),精装修,74.7平方米
946,30000 元/m²,198万,3室1厅,"
11662元 ",南,"
      沙河顶11号大院精装三房仅售198万 入读名校安静不吵采光好  ",中层(共9层),精装修,66平方米
947,32354 元/m²,325万,3室2厅,"
19142元 ",东南,"
      保利罗兰国际，内部转名单位，随时看房，可正常贷款  ",中层(共32层),精装修,100.5平方米
948,43781 元/m²,339万,3室2厅,"
15529元 ",南北,"
      荫直街散盘 水荫直街东三巷 高层安静 业主很有心卖  ",高层(共8层),简单装修,77.4平方米
949,35398 元/m²,320万,3室2厅,"
18847元 ",南,"
      万科城市花园 南北对流 精装修 望园林景观 近地铁 管理好  ",高层(共18层),精装修,90.4平方米
950,36625 元/m²,293万,3室2厅,"
17257元 ",南北,"
      VR全景看房侨兴苑三房293万 格局好 望花园安静地，铁上盖  ",高层(共9层),精装修,80平方米
951,24575 元/m²,318万,3室2厅,"
18730元 ",东南,"
      在寂静中品味，在喧闹中生活，此房深情并茂！！超  ",低层(共33层),简单装修,129.4平方米
952,35955 元/m²,320万,2室2厅,"
18847元 ",南,"
      实价 星河湾一期得此一套南向望高尔夫球场  ",中层(共9层),精装修,89平方米
953,37325 元/m²,350万,3室2厅,"
16033元 ",东南,"
      保利汇海 东南向江景房 豪华装修送家私 证过两年  ",高层(共26层),精装修,93.8平方米
954,67361 元/m²,485万,3室1厅,"
22218元 ",南北,"
      天河公园 华港花园 电梯三房 采光好 实用 随时看房  ",低层(共9层),精装修,72平方米
955,36251 元/m²,350万,3室2厅,"
16033元 ",西南,"
      佰利山新出笋盘 西南望花园 保养好有钥匙方便看房  ",高层(共32层),精装修,96.6平方米
956,60000 元/m²,660万,3室2厅,"
30235元 ",南北,"
      东晖花园 电梯舒适大三房 安静适合居家 读书优选  ",低层(共9层),豪华装修,110平方米
957,44474 元/m²,338万,3室2厅,"
15484元 ",东南,"
      员村 天河公园 伟诚广场 精装三房 高层安静 有钥匙看房  ",中层(共28层),精装修,76平方米
958,44683 元/m²,395万,3室1厅,"
18095元 ",南北,"
      真.农科院电梯 88平 大3房 可改4房 安静 急售395万  ",中层(共6层),简单装修,88.4平方米
959,43026 元/m²,327万,3室2厅,"
19260元 ",东南,"
      全景实拍 广海花园 电梯房 3房带主套 业主有心卖  ",中层(共9层),精装修,76平方米
960,27418 元/m²,320万,3室2厅,"
18847元 ",南,"
      业主包税急售 中层单边位3房采光好 读北师大配套成熟岭南林语  ",中层(共32层),精装修,116.7平方米
961,41335 元/m²,280万,3室1厅,"
16491元 ",东南,"
      农讲所地铁  中山四路小区 温馨舒适三房 格局方正 明亮通透  ",高层(共9层),精装修,67.7平方米
962,29057 元/m²,308万,3室2厅,"
18141元 ",西北,"
      云山居 中楼层 三房带主套 纯天然氧吧 小区浓厚的教育  ",中层(共6层),精装修,106平方米
963,33460 元/m²,318万,3室2厅,"
18730元 ",南北,"
      刚需三房 价格美丽 星汇金沙二期抢手户型 南北对流望园景  ",中层(共32层),精装修,95平方米
964,45000 元/m²,360万,3室2厅,"
16491元 ",南北,"
      天河北资深学府 太古汇万菱汇商圈 两房价位买三房 拎包入住  ",高层(共9层),精装修,80平方米
965,32421 元/m²,308万,3室2厅,"
18141元 ",东南,"
      全景实拍 黄埔 东苑小区 南向三房 带怡园小學 看房方便  ",中层(共18层),精装修,95平方米
966,61649 元/m²,598万,3室2厅,"
27395元 ",东,"
      华景新城五期 荷景园电梯楼在售 使用率高 大三房 自住  ",高层(共9层),简单装修,97平方米
967,26636 元/m²,285万,3室2厅,"
16786元 ",北,"
      南洲花苑 南北通透三房 间隔实用 总价低 业主换房降价急售  ",高层(共9层),精装修,107平方米
968,32258 元/m²,300万,3室2厅,"
17669元 ",东南,"
      VR全景 广州富力城 对流三房 满五 望花园 实拍  ",中层(共18层),精装修,93平方米
969,34066 元/m²,310万,3室2厅,"
18258元 ",南,"
      旭景家园 超大阳台南向大三房 格局非常方正  业主要出国急卖  ",低层(共15层),精装修,91平方米
970,28866 元/m²,280万,3室2厅,"
16491元 ",南北,"
      明珠湾板块，金茂湾，实用三房，南北对流双阳台毛坯，明珠湾板块  ",高层(共31层),毛坯,97平方米
971,30000 元/m²,300万,3室2厅,"
17669元 ",南,"
      BRT旁 金碧世纪 精装南向三房 通风采光好 仅售300万  ",中层(共17层),豪华装修,100平方米
972,32017 元/m²,300万,3室2厅,"
17669元 ",南,"
      保利汇海花园 带主套三房 看花园安静舒适 性价比高  ",低层(共26层),精装修,93.7平方米
973,37250 元/m²,298万,2室2厅,"
17552元 ",东南,"
      双地铁口 美林湖畔誉府 东南向 大两房双阳台 急售  ",高层(共10层),精装修,80平方米
974,27451 元/m²,280万,3室2厅,"
16491元 ",东北,"
      广州碧桂园 南向三房 业主诚心出售 中间楼层 采光好通风好  ",高层(共7层),精装修,102平方米
975,78684 元/m²,598万,3室2厅,"
27395元 ",南,"
      嘉怡苑 华阳本部学位 新装修 平台 复式三房  ",低层(共27层),豪华装修,76平方米
976,39024 元/m²,320万,3室2厅,"
18847元 ",南北,"
      金碧花园 近地铁 超实用 南北对流 电梯三房  ",中层(共33层),简单装修,82平方米
977,29692 元/m²,280万,3室2厅,"
16491元 ",东南,"
      6号线地铁口 万达广场旁 奥园香馆 业主急卖 省级学位  ",低层(共30层),精装修,94.3平方米
978,50794 元/m²,320万,3室2厅,"
18847元 ",南北,"
      建设三马路豪装三房 框架结构 厅出阳台  ",高层(共7层),豪华装修,63平方米
979,38125 元/m²,305万,3室2厅,"
17964元 ",南,"
      首付2成 悦江上品 荔湾双地铁交汇一线江景洋房 入读省级学校  ",中层(共26层),精装修,80平方米
980,31505 元/m²,293万,3室2厅,"
17257元 ",南,"
      居家房源 闹中取静 旭景家园 精装三房 出门受省级教育  ",高层(共15层),精装修,93平方米
981,26471 元/m²,225万,3室2厅,"
13252元 ",南,"
      封闭小区 富力新村  南向豪装三房 望花园 钥匙在手业主急卖  ",低层(共9层),豪华装修,85平方米
982,36744 元/m²,316万,3室2厅,"
18612元 ",南,"
      新收房源 万华花园 业主换大房急售 户型方正实用 通风采光好  ",中层(共9层),精装修,86平方米
983,39437 元/m²,280万,2室2厅,"
16491元 ",南,"
      东圃 城市假日园 南向两房 精装修 干净舒适 高层南向  ",低层(共16层),精装修,71平方米
984,41348 元/m²,368万,3室2厅,"
16858元 ",东北,"
      诚信真盘 东河苑小区 省级华阳 三房可改四房 望花园 采光好  ",中层(共9层),简单装修,89平方米
985,32932 元/m²,290万,3室2厅,"
17080元 ",南北,"
      万科 新里程 三房南北对流 安静采光好 满五年唯一  近地铁  ",低层(共18层),简单装修,88.1平方米
986,34000 元/m²,289万,3室2厅,"
17022元 ",南,"
      荔港南湾C区 三房两厅 东南向 双阳台带主套 望江采光好  ",中层(共33层),精装修,85平方米
987,31111 元/m²,280万,3室2厅,"
16491元 ",东南,"
      洛涛北区 优选居家三房 东南朝向 户型好 价钱优惠  ",中层(共7层),简单装修,90平方米
988,56000 元/m²,560万,3室1厅,"
25654元 ",东南,"
      信成小区  华阳本部 户型正气 带小区花园 双阳台采光好  ",中层(共9层),豪华装修,100平方米
989,25882 元/m²,308万,3室2厅,"
18141元 ",南,"
      广州碧桂园 南向T单位 保养好 119平方带80平方露台  ",高层(共7层),精装修,119平方米
990,31285 元/m²,280万,3室2厅,"
16491元 ",东,"
      280万 无敌江景   全新未住 超靓景观  ",高层(共26层),精装修,89.5平方米
991,33573 元/m²,280万,3室2厅,"
16491元 ",南,"
      东南向  中层江景 证过两年 采光极好 看房方便  ",中层(共26层),豪华装修,83.4平方米
992,33163 元/m²,325万,3室2厅,"
19142元 ",东北,"
      保利林语山庄 精装三房 省一级科学城小学 地铁口 格局方正  ",高层(共28层),精装修,98平方米
993,35301 元/m²,290万,3室2厅,"
17080元 ",东南,"
      刚需救星 江悦湾东南向小三房 60万首付搞定  ",高层(共26层),精装修,82.2平方米
994,27869 元/m²,280万,3室2厅,"
16491元 ",南北,"
      保利罗兰国际（内部转名）高层，三房精装户型，配套成熟，近地铁  ",中层(共32层),精装修,100.5平方米
995,22652 元/m²,280万,3室2厅,"
16491元 ",南北,"
      保利花城带主套，超大入户花园，南北对流  ",高层(共18层),精装修,123.6平方米
996,31896 元/m²,310万,3室2厅,"
18258元 ",南北,"
      金沙洲 中海金沙馨园 温馨三房 满五唯一 无按揭 随时看房  ",中层(共18层),精装修,97.2平方米
997,30606 元/m²,300万,3室2厅,"
17669元 ",南北,"
      保利罗兰国际 内部转名单位 萝岗区府盘 费 南北对流  ",中层(共28层),精装修,98平方米
998,32500 元/m²,312万,3室2厅,"
18376元 ",南,"
      东圃 中兴花园二期 南向三房 格局超好， 近地铁。  ",中层(共18层),精装修,96平方米
999,30004 元/m²,295万,3室2厅,"
17375元 ",南,"
      深航花园真 房源南向双地铁口成熟小区毛坯四房够两年单证无户口  ",中层(共17层),毛坯,98.3平方米
1000,36782 元/m²,320万,3室2厅,"
18847元 ",西南,"
      真盘实价 时代玫瑰园 少有放盘 配套完善 难得相遇不容错过  ",中层(共13层),精装修,87平方米
1001,25210 元/m²,300万,3室2厅,"
17669元 ",西北,"
      |诚信裕馨| 锦东B区 一级重点学位房 精装三房 证够五年  ",中层(共28层),精装修,119平方米
1002,39726 元/m²,290万,2室1厅,"
17080元 ",东南,"
      翠湖山庄 精装电梯两房 省级學位房 森林式小区 珠江新城东部  ",中层(共21层),精装修,73平方米
1003,36285 元/m²,318万,3室2厅,"
18730元 ",南,"
      逸合中心 一成首付 内部专场 带精装修 复式住宅 送家私家电  ",中层(共24层),精装修,87.6平方米
1004,34068 元/m²,300万,3室2厅,"
17669元 ",南,"
      万科新里程 南向精装三房 满五年 税费少 近地铁 诚心出售  ",高层(共18层),精装修,88.1平方米
1005,7609 元/m²,70万,3室2厅,"
3206元 ",南,"
      玉树新村 低于市场价大甩卖 精装3房 近地铁 产权清晰  ",低层(共10层),精装修,92平方米
1006,31542 元/m²,290万,3室2厅,"
17080元 ",南,"
      锦尚蓬莱真 房源 3房豪装 电梯中层 够两年近地铁 南北对流  ",中层(共18层),精装修,91.9平方米
1007,37209 元/m²,320万,3室1厅,"
18847元 ",南北,"
      员村 穗东花园 正规大三房 自带公立幼儿园 户型方正  ",高层(共9层),精装修,86平方米
1008,35165 元/m²,320万,2室2厅,"
18847元 ",东南,"
      锦绣香江紫荆园 2房带主套 很多业主改成3房 东南向 随时看  ",中层(共6层),精装修,91平方米
1009,30968 元/m²,288万,3室1厅,"
16963元 ",南北,"
      急售 急售 金融城 棠德花园 电梯精装修3房 南北对流  ",低层(共29层),豪华装修,93平方米
1010,21649 元/m²,210万,3室2厅,"
12368元 ",东南,"
      星河湾广地花园 3房2厅住宅 业主花大价钱装修 拎包即可入住  ",低层(共6层),精装修,97平方米
1011,36585 元/m²,300万,3室2厅,"
17669元 ",北,"
      福音 近地铁 东圃广场 中高层三房 满两年 产权无纠纷  ",中层(共15层),精装修,82平方米
1012,31982 元/m²,310万,3室2厅,"
18258元 ",东南,"
      保利江岸花园 高层无遮挡 看别墅 业主急卖急卖急卖  ",高层(共33层),精装修,96.9平方米
1013,31818 元/m²,280万,3室2厅,"
16491元 ",东南,"
      洛涛南区 精装单数三房 低楼层 有钥匙看房方便 交通便利  ",低层(共6层),精装修,88平方米
1014,8182 元/m²,72万,3室2厅,"
3298元 ",南,"
      新收盘 红本在手 可以按揭 带精装 采光好 看房方便  ",低层(共9层),精装修,88平方米
1015,33056 元/m²,310万,3室2厅,"
18258元 ",东南,"
      金沙洲地铁口 保利汇海花园  3房2厅2卫  业主诚售  ",低层(共26层),精装修,93.8平方米
1016,31123 元/m²,298万,3室2厅,"
17552元 ",东,"
      江悦湾东向三房 进口瓷砖装修 东向高层看江 三房两卫单位  ",高层(共26层),豪华装修,95.8平方米
