,设备号,统计时间,用户号,频道,回看开始时间,回看结束时间,回看时长.时.,新回看时长
4484,10160,20170915,10209,湖南卫视-高清,2017-09-15 07:07:49,2017-09-15 07:12:40,0.0808,291.0
4485,10160,20170916,10209,湖南卫视-高清,2017-09-16 13:51:36,2017-09-16 14:10:22,0.1728,1126.0
4487,10160,20170917,10209,湖南卫视-高清,2017-09-17 14:57:54,2017-09-17 15:20:52,0.3828,1378.0
4488,10160,20170919,10209,湖南卫视-高清,2017-09-19 17:36:34,2017-09-19 17:40:19,0.0625,225.0
4489,10160,20170919,10209,湖南卫视-高清,2017-09-19 17:31:47,2017-09-19 17:36:34,0.0797,287.0
4490,10160,20170925,10209,湖南卫视-高清,2017-09-25 17:50:56,2017-09-25 18:04:11,0.0697,795.0
4492,10160,20170925,10209,湖南卫视-高清,2017-09-25 07:13:17,2017-09-25 07:26:18,0.2169,781.0
4493,10160,20170928,10209,湖南卫视-高清,2017-09-28 07:21:26,2017-09-28 07:29:16,0.1306,470.0
4494,10160,20170929,10209,湖南卫视-高清,2017-09-29 07:05:35,2017-09-29 07:23:53,0.305,1098.0
4495,10160,20170929,10209,湖南卫视-高清,2017-09-29 07:23:52,2017-09-29 07:27:49,0.0658,237.0
4496,10164,20170723,10933,江苏卫视-高清,2017-07-23 15:41:12,2017-07-23 17:03:12,0.3133,4920.0
4497,10164,20170723,10933,中央纪录-高清,2017-07-23 17:03:11,2017-07-23 17:04:42,0.0253,91.0
4498,10164,20170723,10933,中央纪录-高清,2017-07-23 17:29:10,2017-07-23 18:43:08,0.7189,4438.0
4501,10164,20170812,10933,浙江卫视-高清,2017-08-11 23:17:32,2017-08-12 00:05:58,0.7078,2906.0
4503,10164,20170924,10933,浙江卫视-高清,2017-09-24 15:30:58,2017-09-24 17:09:01,1.1503,5883.0
4505,10164,20170924,10933,浙江卫视-高清,2017-09-24 17:09:08,2017-09-24 17:17:41,0.1425,513.0
4506,10169,20170722,10171,浙江卫视-高清,2017-07-22 09:56:11,2017-07-22 10:17:38,0.2939,1287.0
4508,10169,20170722,10171,浙江卫视-高清,2017-07-22 00:16:09,2017-07-22 09:56:12,1.9367,34803.0
4513,10172,20170703,11197,广东卫视-高清,2017-07-03 16:14:20,2017-07-03 22:35:00,0.5833,22840.0
4517,10172,20170704,11197,广州竞赛,2017-07-04 02:13:08,2017-07-04 11:44:51,1.7475,34303.0
4522,10172,20170715,11197,河南卫视,2017-07-15 05:12:10,2017-07-15 05:24:41,0.2086,751.0
4523,10172,20170715,11197,河南卫视,2017-07-15 05:27:16,2017-07-15 05:43:44,0.2744,988.0
4524,10172,20170715,11197,河南卫视,2017-07-15 05:26:05,2017-07-15 05:27:16,0.0197,71.0
4525,10172,20170715,11197,河南卫视,2017-07-15 18:15:58,2017-07-15 18:31:01,0.2508,903.0
4526,10172,20170715,11197,河南卫视,2017-07-15 05:44:19,2017-07-15 18:15:30,0.2583,45071.0
4534,10172,20170715,11197,河南卫视,2017-07-15 05:24:48,2017-07-15 05:26:07,0.0219,79.0
4535,10172,20170720,11197,河南卫视,2017-07-20 01:02:18,2017-07-20 01:09:01,0.1119,403.0
4536,10172,20170720,11197,河南卫视,2017-07-20 01:00:25,2017-07-20 01:02:19,0.0317,114.0
4537,10172,20170720,11197,河南卫视,2017-07-20 00:54:43,2017-07-20 01:00:21,0.0939,338.0
4538,10172,20170720,11197,河南卫视,2017-07-20 00:46:38,2017-07-20 00:54:46,0.1356,488.0
4539,10172,20170720,11197,河南卫视,2017-07-20 00:36:18,2017-07-20 00:46:41,0.1731,623.0
4540,10172,20170720,11197,河南卫视,2017-07-20 00:25:03,2017-07-20 00:36:19,0.1878,676.0
4541,10172,20170723,11197,浙江卫视-高清,2017-07-23 23:20:44,2017-07-23 23:47:18,0.4428,1594.0
4542,10172,20170724,11197,浙江卫视-高清,2017-07-24 02:00:51,2017-07-24 02:03:13,0.0394,142.0
4543,10172,20170724,11197,浙江卫视-高清,2017-07-24 01:45:51,2017-07-24 01:56:06,0.1708,615.0
4544,10172,20170724,11197,浙江卫视-高清,2017-07-24 00:54:45,2017-07-24 01:42:33,0.7967,2868.0
4545,10172,20170724,11197,浙江卫视-高清,2017-07-24 00:38:19,2017-07-24 00:53:01,0.245,882.0
4546,10172,20170724,11197,浙江卫视-高清,2017-07-23 23:47:18,2017-07-24 00:38:20,0.2117,3062.0
4548,10172,20170731,11197,河南卫视,2017-07-31 13:20:21,2017-07-31 13:35:33,0.2533,912.0
4549,10172,20170731,11197,河南卫视,2017-07-31 12:07:19,2017-07-31 12:42:56,0.5936,2137.0
4550,10172,20170731,11197,河南卫视,2017-07-31 12:54:54,2017-07-31 13:19:56,0.4172,1502.0
4551,10172,20170731,11197,河南卫视,2017-07-31 12:42:55,2017-07-31 12:53:30,0.1764,635.0
4554,10172,20170810,11197,河南卫视,2017-08-10 03:29:37,2017-08-10 03:31:35,0.0328,118.0
4555,10172,20170810,11197,河南卫视,2017-08-10 03:28:09,2017-08-10 03:29:38,0.0247,89.0
4565,10172,20170821,11197,浙江卫视-高清,2017-08-21 18:58:22,2017-08-21 19:36:30,0.6356,2288.0
4566,10172,20170821,11197,浙江卫视-高清,2017-08-21 19:36:35,2017-08-21 21:21:29,1.3581,6294.0
4568,10172,20170826,11197,浙江卫视-高清,2017-08-26 00:27:35,2017-08-26 00:52:42,0.4186,1507.0
4569,10172,20170902,11197,江苏卫视-高清,2017-09-02 23:17:08,2017-09-02 23:54:16,0.6189,2228.0
4570,10172,20170902,11197,江苏卫视-高清,2017-09-02 22:33:34,2017-09-02 22:34:36,0.0172,62.0
4571,10172,20170902,11197,江苏卫视-高清,2017-09-02 22:34:35,2017-09-02 23:16:50,0.7042,2535.0
4572,10172,20170903,11197,浙江卫视-高清,2017-09-03 09:36:21,2017-09-03 09:52:11,0.2639,950.0
4573,10172,20170903,11197,浙江卫视-高清,2017-09-03 08:34:03,2017-09-03 08:36:00,0.0325,117.0
4574,10172,20170903,11197,浙江卫视-高清,2017-09-03 08:36:37,2017-09-03 08:42:15,0.0939,338.0
4575,10172,20170903,11197,浙江卫视-高清,2017-09-03 08:42:14,2017-09-03 09:36:22,0.9022,3248.0
4576,10172,20170903,11197,江苏卫视-高清,2017-09-02 23:54:40,2017-09-03 08:30:34,0.0889,30954.0
4582,10172,20170906,11197,江苏卫视-高清,2017-09-06 02:20:18,2017-09-06 10:02:05,0.0347,27707.0
4587,10172,20170906,11197,江苏卫视-高清,2017-09-06 01:51:04,2017-09-06 02:20:19,0.3386,1755.0
4589,10172,20170906,11197,江苏卫视-高清,2017-09-06 01:29:23,2017-09-06 01:51:05,0.3617,1302.0
4590,10172,20170906,11197,江苏卫视-高清,2017-09-05 14:54:39,2017-09-06 01:28:27,2.0,38028.0
4596,10172,20170907,11197,河南卫视,2017-09-07 18:05:11,2017-09-07 18:15:15,0.1678,604.0
4597,10172,20170907,11197,河南卫视,2017-09-07 17:46:02,2017-09-07 18:05:12,0.0867,1150.0
4599,10172,20170907,11197,江苏卫视-高清,2017-09-07 02:44:34,2017-09-07 03:05:14,0.3444,1240.0
4600,10172,20170907,11197,江苏卫视-高清,2017-09-07 03:05:13,2017-09-07 13:21:08,1.3522,36955.0
4606,10172,20170907,11197,江苏卫视-高清,2017-09-07 02:22:58,2017-09-07 02:44:28,0.3583,1290.0
4619,10172,20170909,11197,江苏卫视-高清,2017-09-09 10:12:42,2017-09-09 11:13:38,1.0156,3656.0
4620,10172,20170909,11197,江苏卫视-高清,2017-09-09 04:53:42,2017-09-09 10:12:39,0.2108,19137.0
4624,10172,20170910,11197,浙江卫视-高清,2017-09-10 05:54:16,2017-09-10 07:34:49,0.0956,6033.0
4625,10172,20170910,11197,浙江卫视-高清,2017-09-10 07:34:57,2017-09-10 07:54:27,0.325,1170.0
4626,10172,20170910,11197,浙江卫视-高清,2017-09-10 05:51:10,2017-09-10 05:54:17,0.0519,187.0
4628,10172,20170911,11197,江苏卫视-高清,2017-09-11 06:34:56,2017-09-11 07:11:41,0.6125,2205.0
4629,10172,20170911,11197,江苏卫视-高清,2017-09-11 07:12:00,2017-09-11 07:13:19,0.0219,79.0
4630,10172,20170912,11197,江苏卫视-高清,2017-09-12 02:59:10,2017-09-12 03:36:05,0.6153,2215.0
4631,10172,20170913,11197,江苏卫视-高清,2017-09-13 04:51:27,2017-09-13 20:30:57,0.5158,56370.0
4640,10172,20170913,11197,江苏卫视-高清,2017-09-13 04:04:06,2017-09-13 04:51:29,0.7897,2843.0
4641,10172,20170915,11197,浙江卫视-高清,2017-09-15 23:22:18,2017-09-15 23:28:01,0.0953,343.0
4642,10172,20170915,11197,河南卫视,2017-09-15 11:32:23,2017-09-15 11:34:46,0.0397,143.0
4643,10172,20170915,11197,河南卫视,2017-09-15 11:08:00,2017-09-15 11:31:22,0.3894,1402.0
4644,10172,20170915,11197,河南卫视,2017-09-15 10:30:33,2017-09-15 11:08:02,0.6247,2249.0
4645,10172,20170915,11197,河南卫视,2017-09-15 05:49:55,2017-09-15 07:19:34,1.3261,5379.0
4647,10172,20170915,11197,河南卫视,2017-09-15 00:10:23,2017-09-15 05:49:24,1.8233,20341.0
4650,10172,20170915,11197,河南卫视,2017-09-15 00:01:27,2017-09-15 00:10:24,0.1492,537.0
4651,10172,20170915,11197,河南卫视,2017-09-14 23:56:42,2017-09-15 00:01:28,0.055,286.0
4653,10172,20170916,11197,河南卫视,2017-09-16 00:20:42,2017-09-16 00:43:21,0.3775,1359.0
4654,10172,20170916,11197,河南卫视,2017-09-16 00:43:20,2017-09-16 01:50:54,1.1261,4054.0
4655,10172,20170916,11197,浙江卫视-高清,2017-09-15 23:28:00,2017-09-16 00:19:51,0.5333,3111.0
4657,10172,20170917,11197,江苏卫视-高清,2017-09-17 01:44:25,2017-09-17 02:23:42,0.395,2357.0
4659,10172,20170917,11197,江苏卫视-高清,2017-09-17 02:23:41,2017-09-17 13:00:07,1.0019,38186.0
4665,10172,20170918,11197,宁夏卫视,2017-09-18 17:58:09,2017-09-18 18:16:49,0.2803,1120.0
4667,10172,20170918,11197,宁夏卫视,2017-09-18 17:24:51,2017-09-18 17:58:10,0.5553,1999.0
4668,10172,20170918,11197,宁夏卫视,2017-09-18 17:11:41,2017-09-18 17:23:37,0.1989,716.0
4669,10172,20170918,11197,河南卫视,2017-09-18 17:09:01,2017-09-18 17:11:42,0.0447,161.0
4670,10172,20170918,11197,河南卫视,2017-09-18 11:16:18,2017-09-18 11:17:34,0.0211,76.0
4671,10172,20170918,11197,河南卫视,2017-09-18 10:38:16,2017-09-18 11:15:42,0.6239,2246.0
4672,10172,20170918,11197,河南卫视,2017-09-18 09:05:00,2017-09-18 10:03:06,0.0517,3486.0
4674,10172,20170918,11197,河南卫视,2017-09-18 10:19:30,2017-09-18 10:37:42,0.3033,1092.0
4675,10172,20170918,11197,河南卫视,2017-09-18 10:03:46,2017-09-18 10:19:31,0.2625,945.0
4676,10172,20170921,11197,河南卫视,2017-09-21 03:32:54,2017-09-21 09:40:28,1.6744,22054.0
4680,10172,20170922,11197,江苏卫视-高清,2017-09-22 14:02:02,2017-09-22 14:25:29,0.3908,1407.0
4681,10172,20170922,11197,江苏卫视-高清,2017-09-22 07:41:12,2017-09-22 08:01:18,0.0217,1206.0
4683,10172,20170922,11197,江苏卫视-高清,2017-09-22 08:16:35,2017-09-22 14:01:17,0.0214,20682.0
4687,10172,20170922,11197,江苏卫视-高清,2017-09-22 08:01:16,2017-09-22 08:16:36,0.2556,920.0
4688,10172,20170928,11197,江苏卫视-高清,2017-09-28 07:57:57,2017-09-28 08:33:29,0.5581,2132.0
4690,10172,20170928,11197,江苏卫视-高清,2017-09-28 08:33:28,2017-09-28 16:05:43,0.0953,27135.0
4695,10172,20170930,11197,江苏卫视-高清,2017-09-30 11:14:35,2017-09-30 11:51:47,0.62,2232.0
4696,10178,20170902,11104,东方卫视-高清,2017-09-02 16:09:59,2017-09-02 16:38:42,0.4786,1723.0
4697,10178,20170902,11104,东方卫视-高清,2017-09-02 16:48:59,2017-09-02 17:32:10,0.7197,2591.0
4698,10179,20170729,11162,浙江卫视-高清,2017-07-29 20:28:36,2017-07-29 21:47:32,1.3156,4736.0
4699,10182,20170716,11033,中央1台-高清,2017-07-16 08:56:43,2017-07-16 09:50:43,0.9,3240.0
4700,10182,20170819,11033,中央1台-高清,2017-08-19 19:21:33,2017-08-19 20:12:08,0.2022,3035.0
4702,10182,20170908,11033,中央1台-高清,2017-09-08 22:59:16,2017-09-08 23:41:27,0.7031,2531.0
4703,10182,20170909,11033,翡翠台,2017-09-09 08:34:47,2017-09-09 08:47:08,0.2058,741.0
4704,10182,20170909,11033,翡翠台,2017-09-09 08:47:16,2017-09-09 09:03:34,0.2717,978.0
4705,10182,20170924,11033,翡翠台,2017-09-24 10:36:01,2017-09-24 10:55:18,0.3214,1157.0
4706,10184,20170718,10746,北京卫视-高清,2017-07-18 22:44:23,2017-07-18 23:26:01,0.6939,2498.0
4707,10184,20170731,10746,中央1台-高清,2017-07-31 19:57:49,2017-07-31 20:51:49,0.0364,3240.0
4709,10186,20170709,10835,广州影视,2017-07-09 16:12:22,2017-07-09 16:15:00,0.0439,158.0
4710,10186,20170709,10835,广州影视,2017-07-09 16:14:59,2017-07-09 16:58:46,0.7297,2627.0
4711,10186,20170710,10835,广州影视,2017-07-10 20:28:14,2017-07-10 21:12:05,0.7308,2631.0
4712,10186,20170714,10835,广州影视,2017-07-14 23:05:37,2017-07-14 23:52:38,0.7836,2821.0
4713,10186,20170715,10835,广东公共,2017-07-15 17:11:23,2017-07-15 17:48:44,0.6225,2241.0
4714,10186,20170715,10835,广东公共,2017-07-15 16:57:32,2017-07-15 17:11:08,0.2267,816.0
4715,10186,20170715,10835,广东公共,2017-07-15 16:44:53,2017-07-15 16:57:33,0.2111,760.0
4716,10186,20170715,10835,广东公共,2017-07-15 16:01:32,2017-07-15 16:20:52,0.3222,1160.0
4717,10186,20170715,10835,广东公共,2017-07-15 16:21:49,2017-07-15 16:44:54,0.3847,1385.0
4718,10186,20170715,10835,广东公共,2017-07-15 00:25:04,2017-07-15 06:27:54,0.465,21770.0
4722,10186,20170715,10835,广东公共,2017-07-14 23:52:37,2017-07-15 00:24:52,0.1231,1935.0
4724,10186,20170716,10835,房产频道,2017-07-16 17:58:42,2017-07-16 18:22:32,0.3756,1430.0
4726,10186,20170716,10835,房产频道,2017-07-16 18:41:28,2017-07-16 18:55:35,0.2353,847.0
4727,10186,20170716,10835,广东公共,2017-07-16 16:47:52,2017-07-16 16:50:29,0.0436,157.0
4728,10186,20170716,10835,房产频道,2017-07-16 18:23:04,2017-07-16 18:41:28,0.3067,1104.0
4729,10186,20170716,10835,广东公共,2017-07-16 16:44:13,2017-07-16 16:47:26,0.0536,193.0
4730,10186,20170716,10835,广东公共,2017-07-16 16:50:27,2017-07-16 17:40:26,0.8331,2999.0
4731,10186,20170720,10835,浙江卫视-高清,2017-07-20 21:32:50,2017-07-20 21:46:44,0.2317,834.0
4732,10186,20170722,10835,房产频道,2017-07-22 13:42:28,2017-07-22 13:53:15,0.1797,647.0
4733,10186,20170722,10835,房产频道,2017-07-22 13:40:19,2017-07-22 13:42:21,0.0339,122.0
4734,10186,20170722,10835,房产频道,2017-07-22 10:19:55,2017-07-22 13:40:07,1.6686,12012.0
4736,10186,20170722,10835,广东公共,2017-07-22 09:12:21,2017-07-22 09:13:44,0.0231,83.0
4737,10186,20170722,10835,广东公共,2017-07-22 09:12:52,2017-07-22 09:29:28,0.2767,996.0
4738,10186,20170722,10835,广州影视,2017-07-22 08:35:35,2017-07-22 09:11:47,0.6033,2172.0
4739,10186,20170722,10835,广东公共,2017-07-22 09:30:11,2017-07-22 10:19:37,0.3269,2966.0
4741,10186,20170724,10835,广州影视,2017-07-24 21:48:35,2017-07-24 21:52:15,0.0611,220.0
4742,10186,20170724,10835,广州影视,2017-07-24 21:52:13,2017-07-24 21:53:26,0.0203,73.0
4743,10186,20170731,10835,广州影视,2017-07-31 18:30:28,2017-07-31 19:13:29,0.7169,2581.0
4744,10186,20170731,10835,广州影视,2017-07-31 19:13:28,2017-07-31 19:49:51,0.6064,2183.0
4745,10186,20170731,10835,广州影视,2017-07-31 19:49:49,2017-07-31 20:22:37,0.3769,1968.0
4747,10186,20170731,10835,广州影视,2017-07-31 20:22:36,2017-07-31 21:04:59,0.7064,2543.0
4748,10186,20170803,10835,广东公共,2017-08-03 20:21:24,2017-08-03 20:37:21,0.2658,957.0
4749,10186,20170803,10835,广东公共,2017-08-03 20:16:21,2017-08-03 20:21:25,0.0844,304.0
4750,10186,20170803,10835,广东公共,2017-08-03 19:46:51,2017-08-03 19:48:38,0.0297,107.0
4751,10186,20170803,10835,广东公共,2017-08-03 19:49:33,2017-08-03 20:16:22,0.2728,1609.0
4753,10186,20170803,10835,广东公共,2017-08-03 06:44:14,2017-08-03 07:21:52,0.6272,2258.0
4754,10186,20170806,10835,广东公共,2017-08-06 09:38:27,2017-08-06 10:01:06,0.0183,1359.0
4756,10186,20170806,10835,广州影视,2017-08-06 07:41:29,2017-08-06 09:21:49,1.3636,6020.0
4758,10186,20170810,10835,广州影视,2017-08-10 21:17:57,2017-08-10 21:49:59,0.5339,1922.0
4759,10186,20170812,10835,广州影视,2017-08-12 07:43:11,2017-08-12 07:47:36,0.0736,265.0
4760,10186,20170812,10835,广东公共,2017-08-12 07:47:35,2017-08-12 08:18:21,0.3058,1846.0
4762,10186,20170812,10835,广东公共,2017-08-12 02:02:01,2017-08-12 07:42:33,1.7092,20432.0
4765,10186,20170814,10835,广州影视,2017-08-14 20:27:36,2017-08-14 20:31:13,0.0603,217.0
4766,10186,20170814,10835,房产频道,2017-08-14 19:14:50,2017-08-14 19:15:53,0.0175,63.0
4767,10186,20170814,10835,房产频道,2017-08-14 19:21:26,2017-08-14 19:24:19,0.0481,173.0
4768,10186,20170814,10835,房产频道,2017-08-14 19:19:55,2017-08-14 19:21:27,0.0256,92.0
4769,10186,20170814,10835,房产频道,2017-08-14 19:13:33,2017-08-14 19:14:51,0.0217,78.0
4770,10186,20170814,10835,房产频道,2017-08-14 19:15:52,2017-08-14 19:19:40,0.0633,228.0
4771,10186,20170814,10835,广州影视,2017-08-14 18:23:46,2017-08-14 18:35:43,0.1992,717.0
4772,10186,20170814,10835,广东公共,2017-08-14 18:36:34,2017-08-14 19:12:01,0.5908,2127.0
4773,10186,20170814,10835,广州影视,2017-08-14 18:15:55,2017-08-14 18:21:44,0.0969,349.0
4774,10186,20170815,10835,广州影视,2017-08-15 18:54:35,2017-08-15 21:05:02,1.0839,7827.0
4776,10186,20170819,10835,广东公共,2017-08-19 10:00:56,2017-08-19 10:05:11,0.0708,255.0
4777,10186,20170819,10835,广东公共,2017-08-19 10:05:10,2017-08-19 12:19:12,0.32,8042.0
4779,10186,20170819,10835,广东公共,2017-08-19 07:36:56,2017-08-19 09:22:32,1.3756,6336.0
4781,10186,20170819,10835,广东公共,2017-08-19 09:22:43,2017-08-19 09:58:37,0.5983,2154.0
4782,10186,20170819,10835,广州影视,2017-08-19 06:55:28,2017-08-19 07:36:29,0.6836,2461.0
4783,10186,20170822,10835,广州影视,2017-08-22 21:18:19,2017-08-22 21:19:51,0.0256,92.0
4784,10186,20170825,10835,广州影视,2017-08-25 20:10:40,2017-08-25 20:19:56,0.1544,556.0
4785,10186,20170825,10835,广东公共,2017-08-25 21:01:32,2017-08-25 21:03:33,0.0336,121.0
4786,10186,20170825,10835,广东公共,2017-08-25 21:03:32,2017-08-25 21:31:58,0.4739,1706.0
4787,10186,20170825,10835,广州影视,2017-08-25 19:44:18,2017-08-25 20:09:34,0.1594,1516.0
4789,10186,20170825,10835,广州影视,2017-08-25 20:21:14,2017-08-25 21:00:44,0.6583,2370.0
4790,10186,20170901,10835,广州影视,2017-09-01 22:47:53,2017-09-01 23:28:42,0.6803,2449.0
4791,10186,20170902,10835,广东公共,2017-09-02 00:12:23,2017-09-02 00:16:48,0.0736,265.0
4792,10186,20170902,10835,广东公共,2017-09-02 00:16:48,2017-09-02 00:49:14,0.5406,1946.0
4793,10186,20170902,10835,广州影视,2017-09-01 23:29:30,2017-09-02 00:11:31,0.5083,2521.0
4795,10186,20170904,10835,广东公共,2017-09-04 07:41:11,2017-09-04 08:13:56,0.2322,1965.0
4797,10186,20170904,10835,广东公共,2017-09-04 08:13:55,2017-09-04 08:32:02,0.3019,1087.0
4798,10186,20170904,10835,广东公共,2017-09-04 08:32:00,2017-09-04 08:36:40,0.0778,280.0
4799,10186,20170906,10835,广东公共,2017-09-06 08:45:39,2017-09-06 08:47:18,0.0275,99.0
4800,10186,20170906,10835,广东公共,2017-09-06 08:25:56,2017-09-06 08:44:46,0.3139,1130.0
4801,10186,20170906,10835,广州影视,2017-09-06 07:49:56,2017-09-06 08:25:12,0.42,2116.0
4803,10186,20170908,10835,广州影视,2017-09-08 13:18:00,2017-09-08 13:51:30,0.5583,2010.0
4804,10186,20170908,10835,广东公共,2017-09-08 13:51:50,2017-09-08 14:12:45,0.2125,1255.0
4806,10186,20170908,10835,广州影视,2017-09-08 12:46:13,2017-09-08 13:18:02,0.5303,1909.0
4807,10186,20170908,10835,广东公共,2017-09-08 14:56:19,2017-09-08 15:01:55,0.0933,336.0
4808,10186,20170908,10835,广东公共,2017-09-08 14:12:44,2017-09-08 14:38:18,0.4261,1534.0
4809,10186,20170908,10835,广东公共,2017-09-08 14:38:17,2017-09-08 14:55:14,0.2825,1017.0
4810,10186,20170909,10835,广州影视,2017-09-09 07:50:28,2017-09-09 08:33:38,0.5606,2590.0
4812,10186,20170910,10835,房产频道,2017-09-10 15:46:51,2017-09-10 15:51:29,0.0772,278.0
4813,10186,20170910,10835,房产频道,2017-09-10 15:36:11,2017-09-10 15:46:11,0.1667,600.0
4814,10186,20170911,10835,广东公共,2017-09-11 20:10:05,2017-09-11 20:11:12,0.0186,67.0
4815,10186,20170911,10835,广东公共,2017-09-11 19:49:41,2017-09-11 20:10:07,0.1686,1226.0
4817,10186,20170911,10835,广东公共,2017-09-11 19:17:36,2017-09-11 19:49:42,0.535,1926.0
4818,10186,20170911,10835,广州影视,2017-09-11 19:15:48,2017-09-11 19:17:37,0.0303,109.0
4819,10186,20170912,10835,广州影视,2017-09-12 18:41:39,2017-09-12 18:43:28,0.0303,109.0
4820,10186,20170913,10835,房产频道,2017-09-13 10:14:05,2017-09-13 10:15:11,0.0183,66.0
4821,10186,20170913,10835,房产频道,2017-09-13 10:15:10,2017-09-13 10:21:33,0.1064,383.0
4822,10186,20170915,10835,广东公共,2017-09-15 15:37:28,2017-09-15 15:58:58,0.3583,1290.0
4823,10186,20170916,10835,广州影视,2017-09-16 08:39:20,2017-09-16 08:48:55,0.1597,575.0
4824,10186,20170916,10835,广东公共,2017-09-16 08:48:53,2017-09-16 08:52:43,0.0639,230.0
4825,10186,20170919,10835,广州影视,2017-09-19 19:24:38,2017-09-19 19:59:15,0.5769,2077.0
4826,10186,20170919,10835,广州影视,2017-09-19 18:58:10,2017-09-19 19:24:22,0.4367,1572.0
4827,10186,20170919,10835,广州影视,2017-09-19 18:23:01,2017-09-19 18:51:29,0.4744,1708.0
4828,10186,20170921,10835,广东新闻,2017-09-21 11:00:25,2017-09-21 11:11:13,0.18,648.0
4829,10186,20170921,10835,广东新闻,2017-09-21 10:48:46,2017-09-21 11:00:26,0.1944,700.0
4830,10186,20170921,10835,广东新闻,2017-09-21 10:29:57,2017-09-21 10:31:56,0.0331,119.0
4831,10186,20170921,10835,广东新闻,2017-09-21 10:08:29,2017-09-21 10:28:35,0.335,1206.0
4832,10186,20170921,10835,广东公共,2017-09-21 09:09:29,2017-09-21 09:33:54,0.4069,1465.0
4833,10186,20170921,10835,广州影视,2017-09-21 07:34:43,2017-09-21 08:14:26,0.2406,2383.0
4835,10186,20170925,10835,广州影视,2017-09-25 07:42:23,2017-09-25 07:53:24,0.1836,661.0
4836,10186,20170925,10835,广州影视,2017-09-25 07:53:24,2017-09-25 08:15:27,0.2575,1323.0
4838,10186,20170925,10835,广东公共,2017-09-25 08:15:26,2017-09-25 09:31:56,1.275,4590.0
4839,10186,20170926,10835,广东公共,2017-09-26 08:24:32,2017-09-26 08:44:10,0.3272,1178.0
4840,10186,20170926,10835,广东公共,2017-09-26 07:59:17,2017-09-26 08:23:28,0.3911,1451.0
4842,10186,20170926,10835,广东公共,2017-09-26 07:37:19,2017-09-26 07:59:18,0.3664,1319.0
4843,10186,20170927,10835,广州影视,2017-09-27 10:34:09,2017-09-27 11:10:48,0.6108,2199.0
4844,10186,20170927,10835,广东公共,2017-09-27 09:16:08,2017-09-27 09:38:46,0.3772,1358.0
4845,10186,20170927,10835,广州影视,2017-09-27 07:32:52,2017-09-27 08:57:36,0.96,5084.0
4847,10186,20170928,10835,广东公共,2017-09-28 11:06:30,2017-09-28 11:29:59,0.3914,1409.0
4848,10186,20170928,10835,广州影视,2017-09-28 08:38:40,2017-09-28 09:42:16,1.06,3816.0
4849,10186,20170928,10835,广州影视,2017-09-28 08:21:04,2017-09-28 08:38:30,0.2906,1046.0
4850,10186,20170928,10835,广州影视,2017-09-28 08:08:33,2017-09-28 08:20:39,0.2017,726.0
4851,10186,20170929,10835,广东新闻,2017-09-29 08:58:36,2017-09-29 09:19:48,0.3533,1272.0
4852,10186,20170929,10835,广州影视,2017-09-29 07:43:33,2017-09-29 08:16:28,0.2744,1975.0
4854,10186,20170929,10835,广东公共,2017-09-29 08:29:57,2017-09-29 08:58:12,0.4708,1695.0
4855,10186,20170930,10835,广东公共,2017-09-30 09:06:13,2017-09-30 09:28:55,0.3783,1362.0
4856,10186,20170930,10835,广州影视,2017-09-30 09:05:13,2017-09-30 09:06:14,0.0169,61.0
4857,10186,20170930,10835,广州影视,2017-09-30 08:33:27,2017-09-30 09:05:14,0.5297,1907.0
4858,10191,20170830,10979,湖南卫视-高清,2017-08-30 22:10:55,2017-08-30 22:48:43,0.63,2268.0
4859,10191,20170908,10979,湖南卫视-高清,2017-09-08 15:17:47,2017-09-08 15:44:24,0.4436,1597.0
4860,10191,20170908,10979,湖南卫视-高清,2017-09-08 14:56:27,2017-09-08 15:17:48,0.3558,1281.0
4861,10191,20170910,10979,湖南卫视-高清,2017-09-10 13:57:08,2017-09-10 14:37:29,0.6247,2421.0
4863,10191,20170914,10979,东方卫视-高清,2017-09-14 14:59:16,2017-09-14 15:00:59,0.0286,103.0
4864,10191,20170914,10979,东方卫视-高清,2017-09-14 14:30:58,2017-09-14 14:33:07,0.0358,129.0
4865,10191,20170914,10979,东方卫视-高清,2017-09-14 14:33:06,2017-09-14 14:59:01,0.4319,1555.0
4866,10191,20170915,10979,东方卫视-高清,2017-09-15 12:14:36,2017-09-15 12:19:26,0.0806,290.0
4867,10191,20170915,10979,东方卫视-高清,2017-09-15 22:23:48,2017-09-15 23:00:29,0.6114,2201.0
4868,10191,20170915,10979,东方卫视-高清,2017-09-15 22:21:10,2017-09-15 22:23:36,0.0406,146.0
4869,10191,20170919,10979,东方卫视-高清,2017-09-19 21:44:24,2017-09-19 22:36:41,0.6114,3137.0
4871,10191,20170919,10979,东方卫视-高清,2017-09-19 16:08:31,2017-09-19 16:14:20,0.0969,349.0
4872,10191,20170919,10979,东方卫视-高清,2017-09-19 16:23:06,2017-09-19 16:25:27,0.0392,141.0
4873,10191,20170919,10979,东方卫视-高清,2017-09-19 15:26:23,2017-09-19 16:08:24,0.14,2521.0
4875,10191,20170920,10979,东方卫视-高清,2017-09-20 21:57:57,2017-09-20 22:35:02,0.5839,2225.0
4877,10191,20170921,10979,中央1台-高清,2017-09-21 17:50:47,2017-09-21 18:36:52,0.6144,2765.0
