,设备号,统计日期,二级目录,影片名称,观看开始时间,观看结束时间,用户号,观看时长
11877,10403,20170807,精彩点,不懂撒娇的女人,2017-08-07 15:01:15,2017-08-07 15:48:57,10708,2862.0
11878,10403,20170807,精彩点,不懂撒娇的女人,2017-08-07 17:47:28,2017-08-07 18:50:23,10708,3775.0
11879,10403,20170807,精彩点,超时空男臣,2017-08-07 12:20:20,2017-08-07 13:03:23,10708,2583.0
11880,10403,20170807,精彩点,超时空男臣,2017-08-07 14:29:33,2017-08-07 15:01:17,10708,1904.0
11881,10403,20170807,精彩点,不懂撒娇的女人,2017-08-07 16:46:54,2017-08-07 17:47:29,10708,3635.0
11882,10403,20170807,精彩点,不懂撒娇的女人,2017-08-07 18:50:28,2017-08-07 19:40:23,10708,2995.0
11883,10403,20170807,精彩点,不懂撒娇的女人,2017-08-07 19:40:29,2017-08-07 20:53:26,10708,4377.0
11884,10403,20170807,精彩点,不懂撒娇的女人,2017-08-07 20:53:25,2017-08-07 21:08:38,10708,913.0
11885,10403,20170808,精彩点,踩过界,2017-08-08 21:28:13,2017-08-08 21:31:04,10708,171.0
11887,10403,20170811,精彩点,不懂撒娇的女人,2017-08-11 22:13:36,2017-08-11 22:22:21,10708,525.0
11888,10403,20170811,精彩点,不懂撒娇的女人,2017-08-11 20:49:16,2017-08-11 21:31:07,10708,2511.0
11889,10403,20170811,精彩点,不懂撒娇的女人,2017-08-11 20:33:54,2017-08-11 20:49:09,10708,915.0
11890,10403,20170811,精彩点,不懂撒娇的女人,2017-08-11 21:31:06,2017-08-11 22:13:32,10708,2546.0
11891,10403,20170813,精彩点,超时空男臣,2017-08-13 20:55:28,2017-08-13 21:00:22,10708,294.0
11892,10403,20170813,精彩点,超时空男臣,2017-08-13 20:13:34,2017-08-13 20:55:29,10708,2515.0
11893,10403,20170813,精彩点,超时空男臣,2017-08-13 09:02:16,2017-08-13 09:45:22,10708,2586.0
11894,10403,20170813,精彩点,超时空男臣,2017-08-13 10:26:53,2017-08-13 19:47:25,10708,33632.0
11895,10403,20170813,精彩点,超时空男臣,2017-08-13 22:24:10,2017-08-13 23:07:01,10708,2571.0
11896,10403,20170813,精彩点,超时空男臣,2017-08-13 19:47:24,2017-08-13 20:13:34,10708,1570.0
11897,10403,20170813,精彩点,超时空男臣,2017-08-13 21:38:36,2017-08-13 22:23:31,10708,2695.0
11898,10403,20170813,精彩点,超时空男臣,2017-08-13 21:00:21,2017-08-13 21:38:31,10708,2290.0
11899,10403,20170814,精彩点,踩过界,2017-08-14 14:41:11,2017-08-14 21:21:42,10708,24031.0
11900,10403,20170814,精彩点,踩过界,2017-08-14 14:00:32,2017-08-14 14:41:04,10708,2432.0
11902,10403,20170814,精彩点,踩过界,2017-08-14 13:23:13,2017-08-14 14:00:28,10708,2235.0
11903,10403,20170815,精彩点,踩过界,2017-08-15 02:14:11,2017-08-15 02:20:57,10708,406.0
11904,10403,20170815,精彩点,踩过界,2017-08-15 01:59:48,2017-08-15 02:14:12,10708,864.0
11905,10403,20170815,精彩点,踩过界,2017-08-15 01:29:34,2017-08-15 01:59:41,10708,1807.0
11906,10403,20170815,精彩点,踩过界,2017-08-15 02:59:31,2017-08-15 03:41:15,10708,2504.0
11908,10403,20170815,精彩点,踩过界,2017-08-15 03:41:14,2017-08-15 04:21:51,10708,2437.0
11911,10403,20170815,精彩点,踩过界,2017-08-15 02:20:56,2017-08-15 02:59:32,10708,2316.0
11913,10403,20170816,精彩点,踩过界,2017-08-16 20:02:06,2017-08-16 20:04:06,10708,120.0
11914,10403,20170816,精彩点,踩过界,2017-08-16 20:04:05,2017-08-16 20:05:31,10708,86.0
11916,10403,20170818,精彩点,不懂撒娇的女人,2017-08-18 12:35:18,2017-08-18 13:17:20,10708,2522.0
11917,10403,20170818,精彩点,不懂撒娇的女人,2017-08-18 13:17:26,2017-08-18 19:21:14,10708,21828.0
11918,10403,20170819,精彩点,同盟,2017-08-19 22:54:26,2017-08-19 23:36:10,10708,2504.0
11920,10403,20170819,精彩点,同盟,2017-08-19 22:12:26,2017-08-19 22:54:21,10708,2515.0
11921,10403,20170820,精彩点,同盟,2017-08-20 00:29:29,2017-08-20 00:46:23,10708,1014.0
11922,10403,20170820,精彩点,同盟,2017-08-19 23:36:15,2017-08-20 00:29:30,10708,3195.0
11923,10403,20170820,精彩点,同盟,2017-08-20 00:46:22,2017-08-20 08:39:05,10708,28363.0
11924,10403,20170820,精彩点,同盟,2017-08-20 14:29:24,2017-08-20 15:17:16,10708,2872.0
11925,10403,20170820,精彩点,超时空男臣,2017-08-20 17:40:58,2017-08-20 18:47:57,10708,4019.0
11928,10403,20170820,精彩点,超时空男臣,2017-08-20 17:18:36,2017-08-20 17:40:59,10708,1343.0
11929,10403,20170820,精彩点,超时空男臣,2017-08-20 16:04:14,2017-08-20 17:18:37,10708,4463.0
11930,10403,20170820,精彩点,同盟,2017-08-20 15:17:21,2017-08-20 16:03:46,10708,2785.0
11931,10403,20170828,精彩点,超时空男臣,2017-08-28 20:40:26,2017-08-28 23:46:01,10708,11135.0
11932,10403,20170831,精彩点,同盟,2017-08-31 10:44:36,2017-08-31 23:04:30,10708,44394.0
11933,10403,20170831,精彩点,同盟,2017-08-31 23:04:29,2017-08-31 23:13:45,10708,556.0
11934,10403,20170831,精彩点,同盟,2017-08-31 10:34:53,2017-08-31 10:44:37,10708,584.0
11935,10403,20170901,精彩点,同盟,2017-08-31 23:13:44,2017-09-01 00:03:18,10708,2974.0
11936,10403,20170902,精彩点,十万个冷笑话,2017-09-02 14:27:29,2017-09-02 15:44:02,10708,4593.0
11937,10403,20170902,精彩点,十万伙急,2017-09-02 15:44:01,2017-09-02 20:38:56,10708,17695.0
11940,10403,20170903,精彩点,非凡任务,2017-09-03 13:18:46,2017-09-03 13:48:51,10708,1805.0
11942,10403,20170903,精彩点,非凡任务,2017-09-03 13:48:51,2017-09-03 15:27:14,10708,5903.0
11944,10403,20170904,精彩点,极品飞车,2017-09-04 13:31:11,2017-09-04 13:45:17,10708,846.0
11946,10403,20170905,热点专题,的士速递3,2017-09-05 15:10:17,2017-09-05 19:02:39,10708,13942.0
11948,10403,20170905,热点专题,龙珠Z：复活的弗利萨,2017-09-05 10:02:07,2017-09-05 10:54:21,10708,3134.0
11949,10403,20170905,热点专题,龙珠Z：复活的弗利萨,2017-09-04 23:10:05,2017-09-05 10:02:08,10708,39123.0
11950,10403,20170905,精彩点,核子母舰遇险记,2017-09-05 10:54:20,2017-09-05 13:23:37,10708,8957.0
11951,10403,20170905,精彩点,飓风营救3,2017-09-05 13:24:08,2017-09-05 15:10:18,10708,6370.0
11956,10403,20170906,精彩点,同盟,2017-09-06 10:53:05,2017-09-06 11:33:29,10708,2424.0
11958,10403,20170906,精彩点,同盟,2017-09-06 11:33:28,2017-09-06 12:36:37,10708,3789.0
11959,10403,20170906,精彩点,同盟,2017-09-06 12:37:19,2017-09-06 12:57:16,10708,1197.0
11960,10403,20170906,精彩点,同盟,2017-09-06 10:48:20,2017-09-06 10:49:28,10708,68.0
11962,10403,20170906,精彩点,同盟,2017-09-06 12:57:15,2017-09-06 17:55:40,10708,17905.0
11966,10403,20170910,精彩点,同盟,2017-09-10 11:04:23,2017-09-10 11:08:58,10708,275.0
11968,10403,20170910,精彩点,忍者神龟：变种时代,2017-09-10 12:21:17,2017-09-10 12:22:38,10708,81.0
11969,10403,20170910,精彩点,同盟,2017-09-10 11:09:29,2017-09-10 12:20:43,10708,4274.0
11972,10403,20170911,精彩点,同盟,2017-09-11 11:44:49,2017-09-11 12:09:25,10708,1476.0
11973,10403,20170911,精彩点,同盟,2017-09-11 11:02:16,2017-09-11 11:44:45,10708,2549.0
11974,10403,20170911,精彩点,同盟,2017-09-11 14:19:55,2017-09-11 14:30:47,10708,652.0
11976,10403,20170911,精彩点,同盟,2017-09-11 12:09:30,2017-09-11 12:27:17,10708,1067.0
11977,10403,20170911,精彩点,同盟,2017-09-11 18:38:01,2017-09-11 19:09:31,10708,1890.0
11978,10403,20170911,精彩点,同盟,2017-09-11 12:27:16,2017-09-11 12:45:44,10708,1108.0
11979,10403,20170911,精彩点,同盟,2017-09-11 13:11:28,2017-09-11 13:32:25,10708,1257.0
11982,10403,20170911,精彩点,同盟,2017-09-11 13:55:16,2017-09-11 14:19:56,10708,1480.0
11984,10403,20170911,精彩点,同盟,2017-09-11 13:32:53,2017-09-11 13:55:12,10708,1339.0
11988,10403,20170911,精彩点,同盟,2017-09-11 12:46:21,2017-09-11 13:11:30,10708,1509.0
11992,10403,20170912,精彩点,同盟,2017-09-12 18:56:03,2017-09-12 20:55:06,10708,7143.0
11993,10403,20170912,热点专题,冰雪奇缘,2017-09-12 20:58:13,2017-09-12 21:48:34,10708,3021.0
11996,10403,20170913,精彩点,同盟,2017-09-13 10:09:40,2017-09-13 10:52:19,10708,2559.0
11997,10403,20170913,精彩点,同盟,2017-09-13 09:24:48,2017-09-13 10:09:35,10708,2687.0
11998,10403,20170915,精彩点,同盟,2017-09-15 19:06:05,2017-09-15 19:28:03,10708,1318.0
11999,10403,20170915,精彩点,同盟,2017-09-15 19:28:09,2017-09-15 22:52:56,10708,12287.0
12000,10403,20170916,热点专题,冰雪奇缘,2017-09-16 20:34:57,2017-09-16 21:07:48,10708,1971.0
12001,10403,20170916,热点专题,冰雪奇缘,2017-09-16 21:40:39,2017-09-16 23:16:26,10708,5747.0
12003,10403,20170916,热点专题,冰雪奇缘,2017-09-16 21:08:20,2017-09-16 21:40:40,10708,1940.0
12005,10403,20170916,热点专题,冰雪奇缘,2017-09-16 23:16:31,2017-09-16 23:17:52,10708,81.0
12008,10403,20170917,精彩点,同盟,2017-09-17 11:14:18,2017-09-17 11:15:40,10708,82.0
12009,10403,20170917,热点专题,冰雪奇缘,2017-09-17 11:12:24,2017-09-17 11:14:18,10708,114.0
12011,10403,20170917,精彩点,同盟,2017-09-17 11:15:39,2017-09-17 11:54:04,10708,2305.0
12012,10403,20170919,精彩点,同盟,2017-09-19 10:56:12,2017-09-19 15:58:48,10708,18156.0
12013,10403,20170919,精彩点,同盟,2017-09-19 10:12:29,2017-09-19 10:56:13,10708,2624.0
12014,10403,20170920,精彩点,同盟,2017-09-20 10:15:59,2017-09-20 10:30:07,10708,848.0
12015,10403,20170920,精彩点,同盟,2017-09-20 15:14:05,2017-09-20 16:46:16,10708,5531.0
12016,10403,20170920,精彩点,同盟,2017-09-20 14:35:13,2017-09-20 15:14:07,10708,2334.0
12017,10403,20170920,精彩点,同盟,2017-09-20 14:01:40,2017-09-20 14:30:46,10708,1746.0
12018,10403,20170920,精彩点,同盟,2017-09-20 09:20:42,2017-09-20 09:23:27,10708,165.0
12019,10403,20170920,精彩点,同盟,2017-09-20 14:30:45,2017-09-20 14:35:14,10708,269.0
12020,10403,20170920,精彩点,同盟,2017-09-20 09:32:38,2017-09-20 10:15:55,10708,2597.0
12022,10403,20170920,精彩点,同盟,2017-09-20 09:23:26,2017-09-20 09:32:39,10708,553.0
12023,10403,20170921,精彩点,同盟,2017-09-21 08:57:50,2017-09-21 09:42:08,10708,2658.0
12024,10403,20170921,精彩点,超时空男臣,2017-09-21 20:07:40,2017-09-21 20:16:08,10708,508.0
12025,10403,20170921,精彩点,使徒行者2,2017-09-21 19:23:22,2017-09-21 20:06:54,10708,2612.0
12026,10403,20170922,精彩点,超时空男臣,2017-09-22 11:59:04,2017-09-22 12:23:30,10708,1466.0
12027,10403,20170922,精彩点,超时空男臣,2017-09-22 14:59:49,2017-09-22 18:34:23,10708,12874.0
12028,10403,20170922,精彩点,超时空男臣,2017-09-22 10:58:28,2017-09-22 11:05:37,10708,429.0
12029,10403,20170922,精彩点,冰雪奇缘,2017-09-22 19:52:34,2017-09-22 21:34:45,10708,6131.0
12030,10403,20170922,精彩点,超时空男臣,2017-09-22 10:44:36,2017-09-22 10:57:44,10708,788.0
12031,10403,20170922,精彩点,超时空男臣,2017-09-22 19:44:19,2017-09-22 19:52:25,10708,486.0
12032,10403,20170922,精彩点,超时空男臣,2017-09-22 19:29:49,2017-09-22 19:44:20,10708,871.0
12033,10403,20170922,精彩点,超时空男臣,2017-09-22 11:05:37,2017-09-22 11:59:00,10708,3203.0
12034,10403,20170922,精彩点,超时空男臣,2017-09-22 10:30:30,2017-09-22 10:43:32,10708,782.0
12035,10403,20170922,精彩点,超时空男臣,2017-09-22 19:26:28,2017-09-22 19:29:32,10708,184.0
12037,10403,20170925,精彩点,超时空男臣,2017-09-25 12:08:52,2017-09-25 13:06:08,10708,3436.0
12038,10403,20170926,精彩点,超时空男臣,2017-09-26 21:57:20,2017-09-26 23:36:12,10708,5932.0
12039,10403,20170926,精彩点,超时空男臣,2017-09-26 18:33:55,2017-09-26 18:38:25,10708,270.0
12040,10403,20170926,精彩点,超时空男臣,2017-09-26 14:06:03,2017-09-26 14:22:13,10708,970.0
12041,10403,20170926,精彩点,超时空男臣,2017-09-25 13:06:12,2017-09-26 00:01:31,10708,39319.0
12042,10403,20170927,精彩点,超时空男臣,2017-09-27 14:44:14,2017-09-27 19:10:58,10708,16004.0
12043,10403,20170927,精彩点,超时空男臣,2017-09-27 12:56:11,2017-09-27 14:30:54,10708,5683.0
12044,10403,20170927,精彩点,超时空男臣,2017-09-27 08:55:51,2017-09-27 09:18:08,10708,1337.0
12045,10403,20170927,精彩点,超时空男臣,2017-09-27 14:30:53,2017-09-27 14:44:15,10708,802.0
12046,10403,20170927,精彩点,超时空男臣,2017-09-27 10:01:05,2017-09-27 10:18:35,10708,1050.0
12047,10403,20170927,精彩点,超时空男臣,2017-09-27 11:29:33,2017-09-27 12:14:19,10708,2686.0
12048,10403,20170927,精彩点,超时空男臣,2017-09-27 09:18:27,2017-09-27 10:00:41,10708,2534.0
12049,10403,20170927,精彩点,超时空男臣,2017-09-27 10:44:42,2017-09-27 11:29:33,10708,2691.0
12050,10403,20170927,精彩点,超时空男臣,2017-09-27 12:14:25,2017-09-27 12:56:13,10708,2508.0
12051,10403,20170927,精彩点,超时空男臣,2017-09-27 10:19:07,2017-09-27 10:44:25,10708,1518.0
12052,10403,20170929,精彩点,使徒行者2,2017-09-29 14:02:59,2017-09-29 16:41:41,10708,9522.0
12053,10403,20170929,精彩点,使徒行者2,2017-09-29 17:42:05,2017-09-29 18:25:04,10708,2579.0
12054,10403,20170930,精彩点,使徒行者2,2017-09-30 18:34:59,2017-09-30 19:17:05,10708,2526.0
12055,10403,20170930,精彩点,使徒行者2,2017-09-30 13:27:04,2017-09-30 15:53:20,10708,8776.0
12056,10403,20170930,精彩点,使徒行者2,2017-09-30 11:14:59,2017-09-30 11:16:35,10708,96.0
12057,10403,20170930,精彩点,使徒行者2,2017-09-30 17:13:26,2017-09-30 17:57:08,10708,2622.0
12058,10403,20170930,精彩点,使徒行者2,2017-09-30 22:03:58,2017-09-30 22:10:13,10708,375.0
12059,10403,20170930,精彩点,使徒行者2,2017-09-30 22:10:11,2017-09-30 22:52:48,10708,2557.0
12060,10403,20170930,精彩点,使徒行者2,2017-09-30 12:01:25,2017-09-30 12:45:14,10708,2629.0
12061,10403,20170930,精彩点,使徒行者2,2017-09-30 20:00:03,2017-09-30 20:52:28,10708,3145.0
12062,10403,20170930,精彩点,使徒行者2,2017-09-30 17:57:07,2017-09-30 18:35:00,10708,2273.0
12063,10403,20170930,精彩点,使徒行者2,2017-09-30 20:52:59,2017-09-30 21:25:56,10708,1977.0
12064,10403,20170930,精彩点,使徒行者2,2017-09-30 15:53:19,2017-09-30 16:31:04,10708,2265.0
12065,10403,20170930,精彩点,使徒行者2,2017-09-30 21:26:13,2017-09-30 22:03:54,10708,2261.0
12066,10403,20170930,精彩点,使徒行者2,2017-09-30 16:31:03,2017-09-30 17:13:21,10708,2538.0
12067,10403,20170930,精彩点,使徒行者2,2017-09-30 12:45:14,2017-09-30 13:27:05,10708,2511.0
12068,10403,20170930,精彩点,使徒行者2,2017-09-30 19:17:09,2017-09-30 20:00:04,10708,2575.0
12069,10403,20170930,精彩点,使徒行者2,2017-09-30 11:16:53,2017-09-30 12:01:21,10708,2668.0
12070,10403,20170930,精彩点,使徒行者2,2017-09-30 22:52:55,2017-09-30 23:39:06,10708,2771.0
12071,10408,20170701,精彩点,极地大反攻,2017-07-01 16:41:49,2017-07-01 17:08:02,10389,1573.0
12072,10408,20170701,精彩点,极地大反攻,2017-07-01 13:03:35,2017-07-01 14:30:35,10389,5220.0
12074,10408,20170701,精彩点,欢乐颂2,2017-07-01 11:55:58,2017-07-01 12:38:33,10389,2555.0
12076,10408,20170701,精彩点,欢乐颂2,2017-07-01 12:46:06,2017-07-01 13:03:36,10389,1050.0
12077,10408,20170701,精彩点,我的一九九七,2017-07-01 14:31:49,2017-07-01 14:43:11,10389,682.0
12078,10408,20170702,精彩点,欢乐颂2,2017-07-02 17:40:38,2017-07-02 18:08:44,10389,1686.0
12079,10408,20170702,精彩点,欢乐颂2,2017-07-02 17:02:20,2017-07-02 17:40:31,10389,2291.0
12080,10408,20170702,精彩点,欢乐颂2,2017-07-02 21:14:22,2017-07-02 21:28:59,10389,877.0
12081,10408,20170702,精彩点,欢乐颂2,2017-07-02 16:34:30,2017-07-02 17:02:11,10389,1661.0
12082,10408,20170703,精彩点,欢乐颂2,2017-07-02 21:29:06,2017-07-03 00:55:33,10389,12387.0
12083,10408,20170703,精彩点,左轮手枪,2017-07-03 19:39:49,2017-07-03 20:08:24,10389,1715.0
12084,10408,20170703,精彩点,欢乐颂2,2017-07-03 20:08:22,2017-07-03 20:41:19,10389,1977.0
12085,10408,20170705,精彩点,欢乐颂2,2017-07-05 20:20:10,2017-07-05 20:35:38,10389,928.0
12086,10408,20170707,精彩点,欢乐颂2,2017-07-07 20:34:58,2017-07-07 21:05:42,10389,1844.0
12087,10408,20170708,精彩点,左轮手枪,2017-07-08 17:57:00,2017-07-08 18:33:58,10389,2218.0
12088,10408,20170708,精彩点,左轮手枪,2017-07-08 17:11:20,2017-07-08 17:56:53,10389,2733.0
12089,10408,20170708,精彩点,左轮手枪,2017-07-08 16:39:27,2017-07-08 17:07:06,10389,1659.0
12090,10408,20170708,精彩点,左轮手枪,2017-07-08 15:44:52,2017-07-08 16:01:03,10389,971.0
12091,10408,20170708,精彩点,左轮手枪,2017-07-08 17:07:04,2017-07-08 17:11:12,10389,248.0
12092,10408,20170708,精彩点,左轮手枪,2017-07-08 16:01:02,2017-07-08 16:39:13,10389,2291.0
12093,10408,20170709,精彩点,欢乐颂2,2017-07-09 09:50:23,2017-07-09 10:18:04,10389,1661.0
12094,10408,20170710,精彩点,欢乐颂2,2017-07-10 19:54:52,2017-07-10 20:08:33,10389,821.0
12095,10408,20170710,精彩点,太行英雄传,2017-07-10 15:27:51,2017-07-10 18:30:02,10389,10931.0
12096,10408,20170710,精彩点,欢乐颂2,2017-07-10 20:08:38,2017-07-10 20:55:54,10389,2836.0
12097,10408,20170713,精彩点,我的一九九七,2017-07-13 16:49:22,2017-07-13 17:35:33,10389,2771.0
12098,10408,20170713,精彩点,我的一九九七,2017-07-13 16:17:48,2017-07-13 16:42:23,10389,1475.0
12099,10408,20170713,精彩点,我的一九九七,2017-07-13 07:34:02,2017-07-13 07:35:12,10389,70.0
12100,10408,20170713,精彩点,我的一九九七,2017-07-13 16:42:46,2017-07-13 16:49:11,10389,385.0
12101,10408,20170713,精彩点,我的一九九七,2017-07-13 07:35:11,2017-07-13 07:36:17,10389,66.0
12102,10408,20170713,精彩点,我的一九九七,2017-07-13 15:56:57,2017-07-13 16:17:04,10389,1207.0
12103,10408,20170713,精彩点,我的一九九七,2017-07-13 07:36:27,2017-07-13 15:56:57,10389,30030.0
12104,10408,20170714,精彩点,我的一九九七,2017-07-14 09:53:50,2017-07-14 10:26:32,10389,1962.0
12105,10408,20170714,精彩点,我的一九九七,2017-07-14 11:39:23,2017-07-14 12:05:10,10389,1547.0
12106,10408,20170715,精彩点,太行英雄传,2017-07-15 17:42:55,2017-07-15 18:44:53,10389,3718.0
12107,10408,20170715,精彩点,太行英雄传,2017-07-15 16:31:15,2017-07-15 17:42:56,10389,4301.0
12108,10408,20170715,精彩点,太行英雄传,2017-07-15 15:54:20,2017-07-15 16:31:08,10389,2208.0
12109,10408,20170715,精彩点,太行英雄传,2017-07-15 15:33:13,2017-07-15 15:54:22,10389,1269.0
12110,10408,20170715,精彩点,我的一九九七,2017-07-15 13:30:49,2017-07-15 14:44:22,10389,4413.0
12111,10408,20170715,精彩点,我的一九九七,2017-07-15 14:44:21,2017-07-15 15:32:48,10389,2907.0
12112,10408,20170718,精彩点,我的一九九七,2017-07-18 11:48:47,2017-07-18 11:50:08,10389,81.0
12113,10408,20170719,精彩点,06月12日 超级飞侠二,2017-07-19 18:46:55,2017-07-19 19:17:20,10389,1825.0
12114,10408,20170723,精彩点,我的一九九七,2017-07-22 18:57:22,2017-07-23 00:05:15,10389,18473.0
12115,10408,20170725,精彩点,太行英雄传,2017-07-25 16:01:09,2017-07-25 16:04:13,10389,184.0
12116,10408,20170725,精彩点,太行英雄传,2017-07-25 16:04:12,2017-07-25 16:48:09,10389,2637.0
12117,10408,20170801,精彩点,绝密543,2017-08-01 11:51:33,2017-08-01 15:20:08,10389,12515.0
12118,10408,20170801,精彩点,绝密543,2017-08-01 15:20:15,2017-08-01 16:33:06,10389,4371.0
12119,10408,20170801,精彩点,我的一九九七,2017-08-01 08:53:30,2017-08-01 10:54:24,10389,7254.0
12120,10408,20170801,精彩点,我的一九九七,2017-08-01 08:48:04,2017-08-01 08:52:53,10389,289.0
12121,10408,20170801,精彩点,绝密543,2017-08-01 10:54:24,2017-08-01 11:50:45,10389,3381.0
12122,10408,20170803,精彩点,黑土热血,2017-08-03 15:03:28,2017-08-03 18:33:13,10389,12585.0
12123,10408,20170803,精彩点,我的一九九七,2017-08-03 14:30:24,2017-08-03 14:35:40,10389,316.0
12125,10408,20170803,精彩点,黑土热血,2017-08-03 14:35:39,2017-08-03 15:03:30,10389,1671.0
12126,10408,20170805,精彩点,绝密543,2017-08-05 07:37:01,2017-08-05 08:20:58,10389,2637.0
12127,10408,20170805,精彩点,绝密543,2017-08-05 09:03:29,2017-08-05 10:04:34,10389,3665.0
12128,10408,20170805,精彩点,绝密543,2017-08-05 10:04:33,2017-08-05 11:05:26,10389,3653.0
12129,10408,20170805,精彩点,绝密543,2017-08-05 11:05:33,2017-08-05 13:21:44,10389,8171.0
12130,10408,20170805,精彩点,绝密543,2017-08-05 08:20:57,2017-08-05 09:03:22,10389,2545.0
12131,10408,20170807,精彩点,绝密543,2017-08-07 08:09:53,2017-08-07 08:14:17,10389,264.0
12132,10408,20170807,精彩点,绝密543,2017-08-07 08:14:45,2017-08-07 08:17:18,10389,153.0
12133,10408,20170808,精彩点,绝密543,2017-08-08 15:06:09,2017-08-08 15:09:10,10389,181.0
12134,10408,20170808,精彩点,黑土热血,2017-08-08 19:33:50,2017-08-08 20:33:01,10389,3551.0
12135,10408,20170808,精彩点,黑土热血,2017-08-08 20:33:01,2017-08-08 21:18:03,10389,2702.0
12136,10408,20170809,精彩点,绝密543,2017-08-09 17:12:21,2017-08-09 18:03:17,10389,3056.0
12137,10408,20170809,精彩点,黑土热血,2017-08-09 20:58:49,2017-08-09 21:11:11,10389,742.0
12138,10408,20170809,精彩点,绝密543,2017-08-09 17:00:53,2017-08-09 17:12:23,10389,690.0
12139,10408,20170809,精彩点,黑土热血,2017-08-09 18:03:43,2017-08-09 18:11:07,10389,444.0
12140,10408,20170809,精彩点,黑土热血,2017-08-09 18:11:22,2017-08-09 18:33:44,10389,1342.0
12141,10408,20170809,精彩点,黑土热血,2017-08-09 21:11:18,2017-08-09 21:12:52,10389,94.0
12142,10408,20170809,精彩点,绝密543,2017-08-09 15:11:09,2017-08-09 17:00:54,10389,6585.0
12143,10408,20170810,精彩点,绝密543,2017-08-10 15:06:05,2017-08-10 16:00:58,10389,3293.0
12144,10408,20170810,精彩点,绝密543,2017-08-10 16:31:14,2017-08-10 17:51:19,10389,4805.0
12145,10408,20170810,精彩点,绝密543,2017-08-10 16:00:58,2017-08-10 16:31:15,10389,1817.0
12146,10408,20170811,精彩点,黑土热血,2017-08-11 15:07:19,2017-08-11 15:08:59,10389,100.0
12147,10408,20170811,精彩点,黑土热血,2017-08-11 12:40:18,2017-08-11 15:07:20,10389,8822.0
12148,10408,20170812,精彩点,黑土热血,2017-08-12 10:06:24,2017-08-12 11:46:51,10389,6027.0
12149,10408,20170814,精彩点,绝密543,2017-08-14 15:47:11,2017-08-14 21:23:17,10389,20166.0
12150,10408,20170816,精彩点,绝密543,2017-08-16 09:00:23,2017-08-16 11:26:01,10389,8738.0
12151,10408,20170816,精彩点,黑土热血,2017-08-16 11:26:31,2017-08-16 11:53:19,10389,1608.0
12152,10408,20170816,精彩点,黑土热血,2017-08-16 12:51:33,2017-08-16 18:43:23,10389,21110.0
12153,10408,20170817,精彩点,黑土热血,2017-08-17 08:52:51,2017-08-17 09:02:50,10389,599.0
12154,10408,20170817,精彩点,黑土热血,2017-08-17 09:02:49,2017-08-17 09:14:28,10389,699.0
12155,10408,20170818,精彩点,黑土热血,2017-08-18 12:06:22,2017-08-18 15:57:28,10389,13866.0
12156,10408,20170821,精彩点,黑土热血,2017-08-21 15:22:37,2017-08-21 15:56:13,10389,2016.0
12157,10408,20170821,精彩点,黑土热血,2017-08-21 16:13:21,2017-08-21 16:48:27,10389,2106.0
12158,10408,20170821,精彩点,黑土热血,2017-08-21 15:56:12,2017-08-21 16:13:14,10389,1022.0
12159,10408,20170822,精彩点,黑土热血,2017-08-22 16:56:06,2017-08-22 19:17:48,10389,8502.0
12160,10408,20170822,精彩点,绝密543,2017-08-22 19:28:03,2017-08-22 19:33:12,10389,309.0
12161,10408,20170822,精彩点,黑土热血,2017-08-22 19:33:11,2017-08-22 19:35:56,10389,165.0
12162,10408,20170822,精彩点,黑土热血,2017-08-22 19:35:55,2017-08-22 19:58:07,10389,1332.0
12163,10408,20170822,精彩点,黑土热血,2017-08-22 11:37:47,2017-08-22 12:20:18,10389,2551.0
12164,10408,20170822,精彩点,黑土热血,2017-08-22 12:20:25,2017-08-22 16:56:08,10389,16543.0
12165,10408,20170823,精彩点,黑土热血,2017-08-22 21:11:48,2017-08-23 00:39:38,10389,12470.0
12166,10408,20170824,精彩点,血染大青山,2017-08-24 17:09:43,2017-08-24 18:38:21,10389,5318.0
12167,10408,20170824,精彩点,血染大青山,2017-08-24 18:38:19,2017-08-24 21:03:02,10389,8683.0
12168,10408,20170825,精彩点,血染大青山,2017-08-25 11:58:10,2017-08-25 12:59:39,10389,3689.0
12169,10408,20170825,精彩点,血染大青山,2017-08-25 11:42:21,2017-08-25 11:58:04,10389,943.0
12170,10408,20170825,精彩点,血染大青山,2017-08-25 12:59:53,2017-08-25 16:31:38,10389,12705.0
12171,10408,20170826,精彩点,血染大青山,2017-08-26 15:44:45,2017-08-26 17:54:12,10389,7767.0
12172,10408,20170826,精彩点,血染大青山,2017-08-26 10:35:26,2017-08-26 14:02:01,10389,12395.0
12173,10408,20170826,精彩点,血染大青山,2017-08-26 15:10:10,2017-08-26 15:44:36,10389,2066.0
12174,10408,20170826,精彩点,血染大青山,2017-08-26 14:02:01,2017-08-26 15:10:02,10389,4081.0
12175,10408,20170826,精彩点,血染大青山,2017-08-26 17:54:11,2017-08-26 18:33:38,10389,2367.0
12176,10408,20170827,精彩点,巴啦啦小魔仙音符之谜,2017-08-27 10:16:28,2017-08-27 10:41:35,10389,1507.0
12177,10408,20170827,精彩点,巴啦啦小魔仙音符之谜,2017-08-27 10:41:34,2017-08-27 11:08:57,10389,1643.0
12178,10408,20170827,精彩点,巴啦啦小魔仙音符之谜,2017-08-27 09:51:25,2017-08-27 10:16:29,10389,1504.0
